,neighborhood,year,average_sentiment,date
4,adams morgan,2019,5.666666666666666,2019-04-01 12:00:00.000000000
5,adams morgan,2021,5.775,2021-07-08 04:48:00.000000000
6,adams morgan,2022,3.75,2022-03-17 12:00:00.000000000
7,adams morgan,2023,4.893518518518518,2023-07-21 16:00:00.000000000
8,adams morgan,2024,4.8759230697827185,2024-06-14 18:40:00.000000000
13,anacostia,2021,4.5,2021-03-16 12:00:00.000000000
14,anacostia,2023,3.8885040885040887,2023-06-16 04:00:00.000000000
15,anacostia,2024,4.352188552188553,2024-05-11 18:40:00.000000000
19,capitol hill,2019,6.5,2019-02-01 00:00:00.000000000
20,capitol hill,2020,5.666666666666667,2020-08-16 12:00:00.000000000
21,capitol hill,2021,6.5,2021-09-06 19:12:00.000000000
22,capitol hill,2022,5.922314622314622,2022-06-07 09:36:00.000000000
23,capitol hill,2023,5.405882352941177,2023-06-20 06:00:00.000000000
24,capitol hill,2024,5.838586070347077,2024-06-14 18:40:00.000000000
32,columbia heights,2019,4.357142857142858,2019-07-17 06:00:00.000000000
33,columbia heights,2020,4.0,2020-11-01 00:00:00.000000000
34,columbia heights,2021,4.562925170068027,2021-08-31 13:42:51.428571392
35,columbia heights,2022,3.3733333333333335,2022-05-08 09:36:00.000000000
36,columbia heights,2023,4.224053001631596,2023-08-04 18:00:00.000000000
37,columbia heights,2024,4.836392713113614,2024-06-11 05:20:00.000000000
42,downtown,2019,5.333333333333333,2019-05-12 00:00:00.000000000
43,downtown,2021,5.366666666666666,2021-08-19 09:36:00.000000000
44,downtown,2022,5.523809523809524,2022-05-10 06:51:25.714285824
45,downtown,2023,5.317934782608695,2023-07-20 12:00:00.000000000
46,downtown,2024,5.62328722002635,2024-06-01 02:10:54.545454592
52,dupont,2019,6.5,2019-06-01 06:00:00.000000000
53,dupont,2021,5.248684210526316,2021-06-21 16:00:00.000000000
54,dupont,2022,4.5,2022-03-24 12:00:00.000000000
55,dupont,2023,5.361934609702467,2023-06-21 10:40:00.000000000
56,dupont,2024,5.922998625101909,2024-06-26 02:10:54.545454592
62,georgetown,2019,4.5,2019-02-15 00:00:00.000000000
63,georgetown,2021,4.595238095238095,2021-08-18 10:17:08.571428608
64,georgetown,2022,4.061904761904762,2022-04-01 14:24:00.000000000
65,georgetown,2023,5.167129629629629,2023-07-05 06:00:00.000000000
66,georgetown,2024,6.1897950089126565,2024-06-20 13:05:27.272727296
73,h street,2020,3.5,2020-08-01 00:00:00.000000000
74,h street,2021,5.283630952380952,2021-07-16 18:00:00.000000000
75,h street,2022,3.2391304347826084,2022-08-31 14:24:00.000000000
76,h street,2023,5.261038961038961,2023-06-23 10:54:32.727272704
77,h street,2024,5.258024144314467,2024-06-16 08:00:00.000000000
81,logan circle,2019,5.0,2019-04-01 12:00:00.000000000
82,logan circle,2021,4.951315789473684,2021-08-01 00:00:00.000000000
83,logan circle,2022,3.2857142857142856,2022-06-05 13:42:51.428571392
84,logan circle,2023,4.1,2023-05-01 14:24:00.000000000
85,logan circle,2024,4.838293242705007,2024-06-01 02:10:54.545454592
90,navy yard,2019,4.25,2019-05-02 12:00:00.000000000
91,navy yard,2021,5.9714285714285715,2021-08-08 12:00:00.000000000
92,navy yard,2022,5.58974358974359,2022-05-12 00:00:00.000000000
93,navy yard,2023,4.139661654135338,2023-07-04 16:48:00.000000000
94,navy yard,2024,4.4283428078790985,2024-06-16 08:00:00.000000000
100,noma,2019,4.0,2019-02-15 00:00:00.000000000
101,noma,2020,3.944444444444444,2020-07-22 00:00:00.000000000
102,noma,2021,4.691760167270371,2021-06-14 00:00:00.000000000
103,noma,2022,4.333333333333333,2022-06-01 16:00:00.000000000
104,noma,2023,4.862727272727272,2023-07-10 19:12:00.000000000
105,noma,2024,4.330985664573827,2024-06-16 08:00:00.000000000
110,petworth,2019,6.0,2019-12-01 00:00:00.000000000
111,petworth,2020,8.0,2020-09-01 00:00:00.000000000
112,petworth,2021,5.012328767123288,2021-07-11 12:00:00.000000000
113,petworth,2022,3.4,2022-06-07 09:36:00.000000000
114,petworth,2023,4.146929824561403,2023-06-16 00:00:00.000000000
115,petworth,2024,5.22159348763331,2024-06-27 18:00:00.000000000
122,shaw,2019,5.833333333333334,2019-06-17 00:00:00.000000000
123,shaw,2020,8.0,2020-09-01 00:00:00.000000000
124,shaw,2021,6.145833333333333,2021-07-01 12:00:00.000000000
125,shaw,2022,3.8076923076923075,2022-08-16 12:00:00.000000000
126,shaw,2023,4.674662847595179,2023-07-10 10:17:08.571428608
127,shaw,2024,5.6646825396825395,2024-06-24 18:40:00.000000000
130,takoma,2019,7.75,2019-04-01 12:00:00.000000000
131,takoma,2020,4.0,2020-11-01 00:00:00.000000000
132,takoma,2021,5.75,2021-07-11 16:00:00.000000000
133,takoma,2022,4.353846153846154,2022-04-25 14:24:00.000000000
134,takoma,2023,4.192708333333334,2023-08-01 00:00:00.000000000
135,takoma,2024,6.682051282051282,2024-06-14 10:17:08.571428608
138,u street,2019,3.825,2019-03-17 12:00:00.000000000
139,u street,2021,4.891581632653061,2021-08-08 18:00:00.000000000
140,u street,2022,8.0,2022-01-01 00:00:00.000000000
141,u street,2023,4.322545529587783,2023-07-18 20:34:17.142857216
142,u street,2024,4.553301238990894,2024-07-10 16:48:00.000000000
